Id	P1	P2	Cycle	Group	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10
95	f1	f1	F3	-	0.545977	0.545977	6.366025	4	3	3	0	0.997315	0.001734	0.996407	0.504736	0.563331	0.002136	0.996438	0.453314	0.943720	0.000641
96	f1	f1	F3	-	0.207925	0.207925	2.707107	1	7	2	0	0.002622	0.001734	0.499934	0.002188	0.127125	0.002136	0.002771	0.453314	0.986786	0.000641
97	f1	f1	F3	-	0.262247	0.262247	3.366025	1	6	3	0	0.002513	0.997729	0.213013	0.002188	0.127125	0.002433	0.265547	0.499590	0.511692	0.000641
98	f1	f1	F3	-	0.329642	0.329642	4.366025	2	5	3	0	0.293603	0.001734	0.499934	0.002188	0.009130	0.499914	0.002771	0.001147	0.986786	0.999217
99	f1	f1	F3	-	0.609787	0.609787	6.707107	5	3	2	0	0.845969	0.997742	0.996407	0.708031	0.999197	0.997815	0.003134	0.042997	0.006788	0.499789
100	f1	f1	F3	-	0.262477	0.262477	3.366025	1	6	3	0	0.146403	0.499502	0.003502	0.002188	0.009130	0.002433	0.499951	0.455654	0.006788	0.999217
101	f1	f1	F3	-	0.574901	0.574901	7.000000	4	2	4	0	0.002622	0.499622	0.003502	0.351416	0.996757	0.997815	0.499435	0.954521	0.943720	0.499601
102	f1	f1	F3	-	0.474250	0.474250	5.366025	3	4	3	0	0.695202	0.001716	0.499934	0.994931	0.999197	0.997815	0.002771	0.001147	0.511692	0.038094
103	f1	f1	F3	-	0.372915	0.372915	4.000000	3	6	1	0	0.146403	0.122466	0.996407	0.993130	0.002906	0.499738	0.009329	0.951340	0.006788	0.000641
104	f1	f1	F3	-	0.342474	0.342474	4.366025	2	5	3	0	0.499493	0.620674	0.785765	0.002188	0.009630	0.002136	0.997153	0.001122	0.006788	0.499789
105	f1	f1	F3	-	0.389174	0.389174	4.000000	3	6	1	0	0.147600	0.619795	0.004040	0.163519	0.002906	0.002433	0.996438	0.967588	0.986786	0.000641
106	f1	f1	F3	-	0.626843	0.626843	7.366025	5	2	3	0	0.353263	0.997750	0.003502	0.994483	0.999007	0.966397	0.499735	0.847975	0.605713	0.000609
107	f1	f1	F3	-	0.512028	0.512028	6.000000	3	3	4	0	0.002622	0.499622	0.996407	0.994931	0.127125	0.530711	0.002771	0.615538	0.351763	0.998792
108	f1	f1	F3	-	0.662021	0.662021	7.707107	6	2	2	0	0.996632	0.001972	0.996407	0.347848	0.999060	0.997815	0.996438	0.277040	0.007784	0.999217
109	f1	f1	F3	-	0.557565	0.557565	6.000000	5	4	1	0	0.002622	0.998198	0.996407	0.002188	0.999197	0.002136	0.002771	0.967588	0.605713	0.998831
110	f1	f1	F3	-	0.714071	0.714071	7.707107	6	2	2	0	0.997315	0.997757	0.995583	0.629046	0.999197	0.032962	0.889004	0.615538	0.006788	0.977514
111	f1	f1	F3	-	0.443802	0.443802	5.618034	2	3	5	0	0.995162	0.001734	0.499791	0.994931	0.486437	0.499914	0.499951	0.155711	0.303745	0.000641
112	f1	f1	F3	-	0.406949	0.406949	4.707107	3	5	2	0	0.995162	0.499502	0.499660	0.994931	0.002906	0.002433	0.002847	0.084625	0.986786	0.000641
113	f1	f1	F3	-	0.517033	0.517033	6.224745	2	2	6	0	0.499493	0.124014	0.996407	0.610334	0.494998	0.499738	0.499735	0.041805	0.904380	0.499425
114	f1	f1	F3	-	0.462364	0.462364	5.000000	4	5	1	0	0.997315	0.620674	0.996407	0.002188	0.999197	0.002136	0.997153	0.001138	0.006788	0.000641
115	f1	f1	F3	-	0.477978	0.477978	5.707107	4	4	2	0	0.849632	0.122466	0.995481	0.803019	0.495534	0.466201	0.997153	0.042997	0.006788	0.000509
116	f1	f1	F3	-	0.552253	0.552253	6.618034	3	2	5	0	0.997315	0.499910	0.694904	0.324607	0.999060	0.997815	0.002771	0.499569	0.006788	0.499789
117	f1	f1	F3	-	0.632814	0.632814	7.000000	4	2	4	0	0.997315	0.499502	0.995583	0.161209	0.999007	0.499914	0.728711	0.541881	0.904380	0.000641
118	f1	f1	F3	-	0.638994	0.638994	7.366025	5	2	3	0	0.996705	0.499502	0.411651	0.994483	0.999136	0.499914	0.002771	0.998351	0.986786	0.000641
119	f1	f1	F3	-	0.158800	0.158800	2.366025	0	7	3	0	0.351713	0.001972	0.004040	0.708031	0.009630	0.002136	0.002847	0.001055	0.006788	0.499789
120	f1	f1	F3	-	0.583315	0.583315	6.366025	4	3	3	0	0.996632	0.621590	0.995821	0.002188	0.495534	0.499738	0.235521	0.998701	0.986786	0.000641
121	f1	f1	F3	-	0.625265	0.625265	7.618034	4	1	5	0	0.499493	0.499910	0.499660	0.351416	0.918670	0.499914	0.996438	0.001147	0.986786	0.999217
122	f1	f1	F3	-	0.463141	0.463141	6.000000	3	3	4	0	0.002622	0.001734	0.499934	0.804428	0.400418	0.935221	0.499951	0.954521	0.511692	0.020895
123	f1	f1	F3	-	0.653208	0.653208	7.618034	4	1	5	0	0.499672	0.998198	0.708548	0.504736	0.400418	0.002136	0.996438	0.540709	0.904380	0.976840
124	f1	f1	F3	-	0.509467	0.509467	6.224745	2	2	6	0	0.997315	0.499622	0.499660	0.504736	0.563331	0.002136	0.499735	0.540709	0.986786	0.000641
125	f1	f1	F3	-	0.655658	0.655658	7.366025	5	2	3	0	0.499672	0.499502	0.996407	0.994931	0.127125	0.002136	0.997153	0.951116	0.511692	0.976840
126	f1	f1	F3	-	0.350979	0.350979	4.000000	3	6	1	0	0.499252	0.001716	0.996407	0.994931	0.009630	0.002136	0.997153	0.001138	0.006788	0.000641
127	f1	f1	F3	-	0.465989	0.465989	6.000000	0	1	9	0	0.499120	0.499504	0.155006	0.463843	0.294969	0.499715	0.499855	0.504042	0.511692	0.732142
128	f1	f1	F3	-	0.356356	0.356356	4.000000	3	6	1	0	0.002622	0.001734	0.003321	0.994931	0.073044	0.001947	0.499864	0.998701	0.986786	0.000609
129	f1	f1	F3	-	0.500326	0.500326	5.707107	4	4	2	0	0.002622	0.997750	0.996407	0.504736	0.464076	0.033373	0.997153	0.001138	0.006788	0.999217
