Id	MS	All	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10
182	0.252062	0.999857	0.999820	0.999932	0.999909	0.999951	0.999831	0.999788	0.999924	0.999541	0.999915	0.999960
183	0.362218	0.998713	0.998943	0.998802	0.999909	0.999348	0.999831	0.999952	0.999619	0.991591	0.999623	0.999508
184	0.561172	0.999591	0.998505	0.999932	0.999136	0.999892	0.999850	0.999952	0.999924	0.999176	0.999582	0.999960
185	0.548972	0.999561	0.997633	0.999932	0.999867	0.999301	0.999545	0.999952	0.999924	0.999907	0.999968	0.999579
186	0.698046	0.996024	0.999820	0.999714	0.999867	0.993413	0.996070	0.999475	0.973433	0.999176	0.999954	0.999314
187	0.400986	0.999876	0.999820	0.999932	0.999909	0.999951	0.999932	0.999952	0.999924	0.999520	0.999968	0.999850
188	0.400782	0.999242	0.997633	0.999243	0.999909	0.999716	0.996929	0.999952	0.999924	0.999633	0.999968	0.999508
189	0.570563	0.999031	0.998140	0.999821	0.999909	0.999139	0.996173	0.999828	0.999619	0.997866	0.999968	0.999850
190	0.401963	0.999546	0.999820	0.999243	0.999561	0.999951	0.999528	0.999828	0.999924	0.999179	0.999954	0.998468
191	0.145960	0.999510	0.999344	0.999932	0.998670	0.999475	0.999831	0.999441	0.999924	0.998551	0.999968	0.999960
192	0.525569	0.999522	0.999820	0.999243	0.999867	0.999951	0.999932	0.999214	0.998865	0.999541	0.998933	0.999850
193	0.594268	0.999309	0.999554	0.999243	0.999909	0.999139	0.999932	0.999575	0.999727	0.997575	0.999968	0.998468
194	0.399019	0.999391	0.999820	0.999932	0.999909	0.999951	0.995736	0.999952	0.999261	0.999541	0.999954	0.999850
195	0.406021	0.999275	0.999326	0.999714	0.999909	0.999348	0.996070	0.999679	0.998865	0.999907	0.999968	0.999960
196	0.349617	0.997807	0.999820	0.999005	0.999561	0.983017	0.999646	0.999390	0.999470	0.998333	0.999865	0.999960
197	0.452643	0.997639	0.995167	0.985898	0.999909	0.998826	0.997621	0.999952	0.999573	0.999520	0.999968	0.999960
198	0.427929	0.998581	0.999344	0.997367	0.999247	0.991426	0.999932	0.999501	0.999496	0.999580	0.999954	0.999960
199	0.677159	0.996418	0.998987	0.999482	0.999648	0.983017	0.985783	0.999598	0.999924	0.999580	0.999954	0.998203
200	0.400362	0.999694	0.999318	0.999243	0.999827	0.999503	0.999680	0.999952	0.999924	0.999580	0.999954	0.999960
201	0.596470	0.997076	0.991721	0.999932	0.998269	0.988603	0.998121	0.999952	0.999901	0.995789	0.999623	0.998851
202	0.644989	0.998024	0.998505	0.999932	0.999136	0.998980	0.999850	0.999679	0.984729	0.999849	0.999915	0.999661
203	0.472370	0.999331	0.998987	0.999932	0.998814	0.999892	0.999766	0.999079	0.998865	0.999907	0.999968	0.998096
204	0.496573	0.997985	0.999820	0.998802	0.998960	0.999403	0.999646	0.999952	0.984729	0.998735	0.999954	0.999850
205	0.495482	0.999341	0.999344	0.999005	0.999582	0.999892	0.996070	0.999894	0.999901	0.999907	0.999968	0.999850
206	0.692050	0.999734	0.999820	0.999932	0.999867	0.999892	0.999646	0.999828	0.999573	0.999849	0.999731	0.999202
207	0.322764	0.996288	0.999820	0.999932	0.999247	0.999091	0.999646	0.998719	0.966656	0.999907	0.999968	0.999893
208	0.549522	0.999793	0.999820	0.999932	0.999909	0.999716	0.999831	0.999952	0.999924	0.999580	0.999954	0.999314
209	0.620514	0.998517	0.999326	0.996097	0.999827	0.999081	0.991849	0.999952	0.999844	0.999849	0.999873	0.999474
210	0.425525	0.999330	0.999289	0.999932	0.999909	0.999716	0.999766	0.999441	0.996364	0.999907	0.999968	0.999005
211	0.377150	0.998384	0.999820	0.999714	0.999623	0.991426	0.996070	0.999679	0.999901	0.999541	0.999865	0.998203
212	0.558171	0.998945	0.998140	0.999821	0.999909	0.998867	0.999932	0.999679	0.999901	0.994041	0.999954	0.999202
213	0.378435	0.999558	0.999820	0.999005	0.998892	0.999716	0.999766	0.999788	0.998864	0.999907	0.999968	0.999850
214	0.586919	0.999143	0.999895	0.999932	0.999909	0.999139	0.997621	0.996739	0.999271	0.999535	0.999731	0.999661
215	0.511507	0.999206	0.998987	0.998781	0.999867	0.999139	0.996070	0.999770	0.999924	0.999849	0.999820	0.999850
216	0.539868	0.996416	0.999344	0.996097	0.999909	0.997784	0.984985	0.992462	0.994551	0.999479	0.999968	0.999579
217	0.771064	0.998897	0.998943	0.999932	0.999909	0.998867	0.999932	0.992462	0.999271	0.999849	0.999954	0.999850
218	0.523138	0.998797	0.999820	0.999005	0.999623	0.993413	0.999653	0.999390	0.999271	0.998033	0.999915	0.999850
