Id	Cycle	Group	MS	All(+/+)	All(-/-)	All(+/-)	QTL1(+/+)	QTL1(-/-)	QTL1(+/-)	QTL2(+/+)	QTL2(-/-)	QTL2(+/-)	QTL3(+/+)	QTL3(-/-)	QTL3(+/-)	QTL4(+/+)	QTL4(-/-)	QTL4(+/-)	QTL5(+/+)	QTL5(-/-)	QTL5(+/-)	QTL6(+/+)	QTL6(-/-)	QTL6(+/-)	QTL7(+/+)	QTL7(-/-)	QTL7(+/-)	QTL8(+/+)	QTL8(-/-)	QTL8(+/-)	QTL9(+/+)	QTL9(-/-)	QTL9(+/-)	QTL10(+/+)	QTL10(-/-)	QTL10(+/-)
34	F3	G2	0.484346	0.169820	0.199358	0.629051	0.005495	0.005495	0.987998	0.248848	0.005857	0.731058	0.433369	0.015520	0.550358	0.990837	0.000867	0.008188	0.002253	0.029024	0.968369	0.004882	0.937907	0.056981	0.006098	0.006098	0.987706	0.002522	0.002522	0.994497	0.002606	0.988998	0.008365	0.001293	0.001293	0.996994
35	F3	G2	0.565916	0.405025	0.271883	0.321781	0.009505	0.711279	0.276190	0.003693	0.003693	0.991846	0.994214	0.001309	0.004386	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.064290	0.004707	0.922988	0.001029	0.995412	0.003483	0.002428	0.002428	0.994323	0.976771	0.003153	0.020029	0.998800	0.000215	0.000836
36	F3	-	0.451096	0.303412	0.401003	0.295368	0.005677	0.005677	0.987989	0.003696	0.003696	0.991851	0.001309	0.994214	0.004386	0.990837	0.000867	0.008188	0.000357	0.994377	0.005097	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.997961	0.000407	0.001481	0.037830	0.014362	0.947724	0.000239	0.998918	0.000804
37	F3	-	0.415560	0.233394	0.399127	0.364331	0.005677	0.005677	0.987989	0.758012	0.007285	0.230361	0.571370	0.000000	0.404964	0.990837	0.000867	0.008188	0.000357	0.994377	0.005097	0.000799	0.996478	0.002675	0.000766	0.994072	0.004735	0.002537	0.002537	0.994050	0.002606	0.988998	0.008365	0.000982	0.000982	0.996887
38	F3	-	0.500260	0.400265	0.399521	0.199991	0.000931	0.995507	0.003381	0.000635	0.997099	0.002198	0.007538	0.007538	0.984244	0.990837	0.000867	0.008188	0.998545	0.000275	0.001030	0.996478	0.000799	0.002675	0.005855	0.005855	0.987561	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.998800	0.000215	0.000836
39	F3	-	0.585788	0.571702	0.399138	0.028172	0.000765	0.994350	0.004202	0.758012	0.007285	0.230361	0.994214	0.001309	0.004386	0.990837	0.000867	0.008188	0.000097	0.991349	0.007240	0.996478	0.000799	0.002675	0.001029	0.995412	0.003483	0.000232	0.996663	0.000741	0.976771	0.003153	0.020029	0.998582	0.000189	0.000419
40	F3	G4	0.450183	0.301131	0.400572	0.298104	0.995704	0.000968	0.003223	0.997099	0.000635	0.002198	0.992364	0.000962	0.006235	0.014345	0.004627	0.980677	0.001692	0.010276	0.987685	0.000799	0.996478	0.002675	0.006098	0.006098	0.987706	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.000183	0.998626	0.000853
41	F3	G5	0.413490	0.303243	0.473416	0.220495	0.993933	0.000653	0.001829	0.000000	0.749867	0.232771	0.000962	0.992364	0.006235	0.000804	0.996379	0.002768	0.000608	0.984294	0.014626	0.996478	0.000799	0.002675	0.000584	0.992802	0.001164	0.002428	0.002428	0.994323	0.037830	0.014362	0.947724	0.998800	0.000215	0.000836
42	F3	G5	0.795341	0.696512	0.105478	0.197658	0.005695	0.005695	0.987900	0.996673	0.000632	0.002168	0.992364	0.000962	0.006235	0.990837	0.000867	0.008188	0.000357	0.994377	0.005097	0.996478	0.000799	0.002675	0.995412	0.001029	0.003483	0.997961	0.000407	0.001481	0.037830	0.014362	0.947724	0.951514	0.035647	0.011632
43	F3	-	0.087196	0.028162	0.853380	0.118069	0.000936	0.994852	0.003155	0.000650	0.996668	0.002164	0.001099	0.992642	0.005882	0.000804	0.996379	0.002768	0.000357	0.994377	0.005097	0.001366	0.994269	0.004226	0.000766	0.994072	0.004735	0.002350	0.002350	0.994439	0.273051	0.569267	0.157424	0.000239	0.998918	0.000804
44	F3	-	0.545154	0.195434	0.104409	0.699440	0.713221	0.011159	0.274242	0.253808	0.009393	0.735565	0.007538	0.007538	0.984244	0.014345	0.004627	0.980677	0.000708	0.981128	0.017843	0.004566	0.004566	0.990658	0.005934	0.005934	0.987601	0.915095	0.004087	0.078851	0.037830	0.014362	0.947724	0.001293	0.001293	0.996994
45	F3	-	0.745872	0.693272	0.201304	0.105200	0.995704	0.000968	0.003223	0.997099	0.000635	0.002198	0.994214	0.001309	0.004386	0.973304	0.002813	0.023523	0.001692	0.010276	0.987685	0.995537	0.000723	0.003419	0.000746	0.994004	0.004870	0.997423	0.000301	0.001856	0.976771	0.003153	0.020029	0.000226	0.998856	0.000811
46	F3	G6	0.658335	0.490038	0.172669	0.336595	0.008299	0.710252	0.276208	0.997099	0.000635	0.002198	0.994214	0.001309	0.004386	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.006028	0.006028	0.987672	0.002522	0.002522	0.994497	0.894923	0.007213	0.097595	0.001293	0.001293	0.996994
47	F3	G6	0.547606	0.324038	0.228157	0.447136	0.953928	0.016213	0.029254	0.033769	0.033769	0.931469	0.024149	0.024149	0.951227	0.000756	0.996096	0.002829	0.047540	0.711934	0.239740	0.374798	0.374798	0.249835	0.995244	0.001005	0.003603	0.017663	0.008063	0.972758	0.230660	0.018857	0.750106	0.561872	0.096689	0.340539
48	F3	G6	0.299284	0.106239	0.506586	0.386090	0.743917	0.110477	0.138846	0.003693	0.003693	0.991846	0.001309	0.994214	0.004386	0.260194	0.013469	0.725189	0.003594	0.954317	0.041645	0.044782	0.009062	0.945848	0.001029	0.995412	0.003483	0.000393	0.997670	0.001458	0.002183	0.986257	0.011203	0.001293	0.001293	0.996994
49	F3	-	0.735753	0.508368	0.035124	0.454769	0.005677	0.005677	0.987989	0.013116	0.013116	0.971858	0.992642	0.001099	0.005882	0.013727	0.320112	0.654763	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.994932	0.001129	0.003436	0.090330	0.004606	0.903101	0.976771	0.003153	0.020029	0.001293	0.001293	0.996994
50	F3	-	0.603243	0.506001	0.298988	0.194485	0.995704	0.000968	0.003223	0.996953	0.000617	0.002285	0.994214	0.001309	0.004386	0.000804	0.996379	0.002768	0.000708	0.981128	0.017843	0.000799	0.996478	0.002675	0.006098	0.006098	0.987706	0.089161	0.003531	0.903097	0.976771	0.003153	0.020029	0.998800	0.000215	0.000836
51	F3	-	0.567325	0.342430	0.207425	0.449790	0.005495	0.005495	0.987998	0.003827	0.003827	0.991350	0.007742	0.007742	0.984383	0.424470	0.007846	0.567123	0.000708	0.981128	0.017843	0.007494	0.069021	0.923379	0.001029	0.995412	0.003483	0.997961	0.000407	0.001481	0.976771	0.003153	0.020029	0.998800	0.000215	0.000836
52	F3	-	0.665675	0.533906	0.200688	0.263538	0.000765	0.994350	0.004202	0.247735	0.002566	0.744120	0.994214	0.001309	0.004386	0.990837	0.000867	0.008188	0.130617	0.000000	0.857946	0.004569	0.004569	0.990691	0.995412	0.001029	0.003483	0.997961	0.000407	0.001481	0.976771	0.003153	0.020029	0.000183	0.998626	0.000853
53	F3	-	0.493601	0.389439	0.401858	0.208325	0.994662	0.000806	0.004086	0.000635	0.997099	0.002198	0.007742	0.007742	0.984383	0.000587	0.995310	0.003732	0.998718	0.000256	0.000959	0.937907	0.004882	0.056981	0.001029	0.995412	0.003483	0.915095	0.004087	0.078851	0.037830	0.014362	0.947724	0.000183	0.998626	0.000853
54	F3	-	0.376866	0.270543	0.516407	0.212645	0.995704	0.000968	0.003223	0.000635	0.997099	0.002198	0.013891	0.587152	0.397226	0.424470	0.007846	0.567123	0.001692	0.010276	0.987685	0.001366	0.994269	0.004226	0.994072	0.000766	0.004735	0.000314	0.997510	0.001809	0.273051	0.569267	0.157424	0.000239	0.998918	0.000804
55	F3	-	0.517787	0.401274	0.364710	0.233025	0.995704	0.000968	0.003223	0.008015	0.253266	0.734816	0.001309	0.994214	0.004386	0.990837	0.000867	0.008188	0.000708	0.981128	0.017843	0.996478	0.000799	0.002675	0.994004	0.000746	0.004870	0.002522	0.002522	0.994497	0.022929	0.413667	0.558950	0.000239	0.998918	0.000804
56	F3	-	0.438581	0.327546	0.450104	0.222070	0.005495	0.005495	0.987998	0.996673	0.000632	0.002168	0.007742	0.007742	0.984383	0.990837	0.000867	0.008188	0.000708	0.981128	0.017843	0.004882	0.937907	0.056981	0.995412	0.001029	0.003483	0.000424	0.998055	0.001428	0.273051	0.569267	0.157424	0.000239	0.998918	0.000804
57	F3	-	0.363910	0.298095	0.569413	0.131631	0.008299	0.710252	0.276208	0.000421	0.994965	0.003396	0.000962	0.992364	0.006235	0.000827	0.996015	0.002633	0.000357	0.994377	0.005097	0.996478	0.000799	0.002675	0.994072	0.000766	0.004735	0.002522	0.002522	0.994497	0.976771	0.003153	0.020029	0.000239	0.998918	0.000804
58	F3	-	0.543643	0.392982	0.304976	0.301321	0.000936	0.994852	0.003155	0.000635	0.997099	0.002198	0.992364	0.000962	0.006235	0.014390	0.004634	0.980692	0.867020	0.036799	0.092630	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.002522	0.002522	0.994497	0.056947	0.015172	0.926815	0.998800	0.000215	0.000836
59	F3	-	0.515856	0.459322	0.427353	0.113068	0.000931	0.995507	0.003381	0.997099	0.000635	0.002198	0.994214	0.001309	0.004386	0.990837	0.000867	0.008188	0.000357	0.994377	0.005097	0.052441	0.923442	0.023558	0.001029	0.995412	0.003483	0.002522	0.002522	0.994497	0.555265	0.359286	0.085269	0.998518	0.000171	0.000625
60	F3	-	0.657147	0.455856	0.140009	0.402582	0.303768	0.012373	0.681779	0.253266	0.008015	0.734816	0.001309	0.994214	0.004386	0.422308	0.005256	0.565638	0.001692	0.010276	0.987685	0.069021	0.007494	0.923379	0.995412	0.001029	0.003483	0.997961	0.000407	0.001481	0.555265	0.359286	0.085269	0.958559	0.001734	0.037910
61	F3	-	0.297268	0.194626	0.599842	0.205284	0.000931	0.995507	0.003381	0.996673	0.000632	0.002168	0.001099	0.992642	0.005882	0.000804	0.996379	0.002768	0.000357	0.994377	0.005097	0.044782	0.009062	0.945848	0.006098	0.006098	0.987706	0.000353	0.997593	0.001589	0.894923	0.007213	0.097595	0.000239	0.998918	0.000804
62	F3	-	0.567739	0.535820	0.399428	0.063837	0.000931	0.995507	0.003381	0.000632	0.996673	0.002168	0.001309	0.994214	0.004386	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.467648	0.002616	0.522126	0.997961	0.000407	0.001481	0.894923	0.007213	0.097595	0.998800	0.000215	0.000836
63	F3	-	0.425453	0.213295	0.361755	0.424316	0.000931	0.995507	0.003381	0.003891	0.003891	0.992038	0.007742	0.007742	0.984383	0.014248	0.004611	0.980645	0.000000	0.009606	0.986131	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.000424	0.998055	0.001428	0.110703	0.600413	0.288158	0.998800	0.000215	0.000836
64	F3	-	0.601095	0.431663	0.226957	0.338864	0.005495	0.005495	0.987998	0.720088	0.217123	0.055759	0.007742	0.007742	0.984383	0.033466	0.000000	0.952489	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.500902	0.437275	0.060444	0.000353	0.997593	0.001589	0.054585	0.603069	0.341513	0.998800	0.000215	0.000836
65	F3	-	0.716748	0.538871	0.104059	0.355753	0.993277	0.000585	0.003771	0.997099	0.000635	0.002198	0.994214	0.001309	0.004386	0.608555	0.020543	0.369882	0.000708	0.981128	0.017843	0.996478	0.000799	0.002675	0.477393	0.012123	0.506848	0.090330	0.004606	0.903101	0.230660	0.018857	0.750106	0.000000	0.000000	0.996718
66	F3	-	0.572631	0.410612	0.265057	0.324038	0.994662	0.000806	0.004086	0.003812	0.003812	0.991962	0.994214	0.001309	0.004386	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.004569	0.004569	0.990691	0.995412	0.001029	0.003483	0.000424	0.998055	0.001428	0.110703	0.600413	0.288158	0.002803	0.043941	0.952462
67	F3	-	0.530585	0.401676	0.339751	0.257818	0.994751	0.000873	0.003761	0.997099	0.000635	0.002198	0.007469	0.007469	0.984184	0.000587	0.995310	0.003732	0.000000	0.974848	0.021149	0.996478	0.000799	0.002675	0.994932	0.001129	0.003436	0.002428	0.002428	0.994323	0.022792	0.415168	0.561906	0.000226	0.998856	0.000811
68	F3	-	0.490917	0.298180	0.314970	0.385474	0.005586	0.005586	0.987993	0.008015	0.253266	0.734816	0.386893	0.543371	0.066924	0.000804	0.996379	0.002768	0.001714	0.011264	0.986567	0.000799	0.996478	0.002675	0.994004	0.000746	0.004870	0.997961	0.000407	0.001481	0.542575	0.339794	0.114034	0.043446	0.002407	0.952615
69	F3	-	0.478744	0.270223	0.310235	0.417042	0.671749	0.256708	0.063800	0.003827	0.003827	0.991350	0.011510	0.429068	0.550608	0.990837	0.000867	0.008188	0.000357	0.994377	0.005097	0.004542	0.004542	0.990392	0.994932	0.001129	0.003436	0.000251	0.996875	0.001608	0.022929	0.413667	0.558950	0.001293	0.001293	0.996994
